time,vx,vy,wz
1702623831329541.0,0.20000000298023224,0.0,-0.024694427847862244
1702623831370665.0,0.20000000298023224,0.0,-0.02015499398112297
1702623831407242.0,0.20000000298023224,0.0,-0.015548216179013252
1702623831452744.0,0.20000000298023224,0.0,-0.005948537960648537
1702623831487968.0,0.20000000298023224,0.0,0.0035000559873878956
1702623831529849.0,0.20000000298023224,0.0,-0.011181709356606007
1702623831569860.0,0.20000000298023224,0.0,-0.006447755731642246
1702623831608267.0,0.20000000298023224,0.0,-0.011485124938189983
1702623831653248.0,0.20000000298023224,0.0,-0.001835398143157363
1702623831692068.0,0.20000000298023224,0.0,-0.0067968242801725864
1702623831735387.0,0.20000000298023224,0.0,-0.002007482573390007
1702623831773660.0,0.20000000298023224,0.0,0.007803040090948343
1702623831807373.0,0.20000000298023224,0.0,0.007803040090948343
1702623831814121.0,0.20000000298023224,0.0,0.022429492324590683
1702623831853455.0,0.20000000298023224,0.0,0.022860553115606308
1702623831895845.0,0.20000000298023224,0.0,0.01838117651641369
1702623831937921.0,0.20000000298023224,0.0,0.023663388565182686
1702623831976987.0,0.20000000298023224,0.0,0.029063500463962555
1702623832016166.0,0.20000000298023224,0.0,0.014887220226228237
1702623832058095.0,0.20000000298023224,0.0,0.010271875187754631
1702623832100836.0,0.20000000298023224,0.0,0.010490547865629196
1702623832140799.0,0.20000000298023224,0.0,0.0254563819617033
1702623832181029.0,0.20000000298023224,0.0,0.030938979238271713
1702623832219044.0,0.20000000298023224,0.0,0.04125209525227547
1702623832261075.0,0.20000000298023224,0.0,0.04712246358394623
1702623832299115.0,0.20000000298023224,0.0,0.03839007765054703
1702623832341288.0,0.20000000298023224,0.0,0.024581756442785263
1702623832382341.0,0.20000000298023224,0.0,0.0005781453801319003
1702623832424474.0,0.20000000298023224,0.0,0.00059340032748878
1702623832463506.0,0.20000000298023224,0.0,-0.004317352082580328
1702623832503834.0,0.20000000298023224,0.0,0.005417970009148121
1702623832552511.0,0.20000000298023224,0.0,0.010358513332903385
1702623832584688.0,0.20000000298023224,0.0,0.010664200410246849
1702623832629459.0,0.20000000298023224,0.0,0.010984506458044052
1702623832665808.0,0.20000000298023224,0.0,0.016252174973487854
1702623832707391.0,0.20000000298023224,0.0,0.0019908652175217867
1702623832747510.0,0.20000000298023224,0.0,0.00205539190210402
1702623832789589.0,0.20000000298023224,0.0,0.0021258641500025988
1702623832807561.0,0.20000000298023224,0.0,0.0021258641500025988
1702623832830487.0,0.20000000298023224,0.0,0.007508721202611923
1702623832870456.0,0.20000000298023224,0.0,0.007786215748637915
1702623832908919.0,0.20000000298023224,0.0,0.00808530393987894
1702623832949970.0,0.20000000298023224,0.0,0.01320614479482174
1702623832992975.0,0.20000000298023224,0.0,0.0334479957818985
1702623833036001.0,0.20000000298023224,0.0,0.04966636002063751
1702623833073264.0,0.20000000298023224,0.0,0.046997494995594025
1702623833113126.0,0.20000000298023224,0.0,0.04428382217884064
1702623833155527.0,0.20000000298023224,0.0,0.05137711390852928
1702623833195336.0,0.20000000298023224,0.0,0.05400129407644272
1702623833236684.0,0.20000000298023224,0.0,0.03723911941051483
1702623833276231.0,0.20000000298023224,0.0,0.02458987943828106
1702623833316895.0,0.20000000298023224,0.0,0.001434131059795618
1702623833354109.0,0.20000000298023224,0.0,0.011186431162059307
1702623833397223.0,0.20000000298023224,0.0,0.011945842765271664
1702623833436745.0,0.20000000298023224,0.0,0.017745118588209152
1702623833477599.0,0.20000000298023224,0.0,0.024058490991592407
1702623833520274.0,0.20000000298023224,0.0,0.0507272332906723
1702623833563337.0,0.20000000298023224,0.0,0.05055757611989975
1702623833601245.0,0.20000000298023224,0.0,0.05569395422935486
1702623833643401.0,0.20000000298023224,0.0,0.05221642553806305
1702623833683448.0,0.1801634132862091,0.0,0.03909691423177719
1702623833723660.0,0.1565581113100052,0.0,0.0104983476921916
1702623833763610.0,0.13402631878852844,0.0,-0.002474095905199647
1702623833802144.0,0.11307968199253082,0.0,-0.0029335275758057833
1702623833807769.0,0.11307968199253082,0.0,-0.0029335275758057833
1702623833841737.0,0.09542512893676758,0.0,-0.0034759161062538624
1702623833884956.0,0.08018876612186432,0.0,0.005726765375584364
1702623833935202.0,0.08018876612186432,0.0,0.005726765375584364
1702623833936439.0,0.06594830751419067,0.0,0.01682708039879799
1702623833965019.0,0.0,0.0,0.0
1702623834005027.0,0.0,0.0,1.0471975803375244
1702623834046817.0,0.0,0.0,1.0471975803375244
1702623834086863.0,0.0,0.0,1.0471975803375244
1702623834125178.0,0.0,0.0,1.0471975803375244
1702623834166912.0,0.0,0.0,1.0471975803375244
1702623834208167.0,0.0,0.0,1.0471975803375244
1702623834252471.0,0.0,0.0,1.0471975803375244
1702623834292135.0,0.0,0.0,1.0471975803375244
1702623834330529.0,0.0,0.0,1.0471975803375244
1702623834372252.0,0.0,0.0,1.0471975803375244
1702623834411594.0,0.0,0.0,1.0471975803375244
1702623834460110.0,0.0,0.0,1.0471975803375244
1702623834494810.0,0.0,0.0,1.0471975803375244
1702623834534955.0,0.0,0.0,1.0471975803375244
1702623834576128.0,0.0,0.0,1.0471975803375244
1702623834615019.0,0.0,0.0,1.0471975803375244
1702623834656159.0,0.0,0.0,1.0471975803375244
1702623834696175.0,0.0,0.0,1.0471975803375244
1702623834740472.0,0.0,0.0,1.0471975803375244
1702623834778939.0,0.0,0.0,1.0471975803375244
1702623834807979.0,0.0,0.0,1.0471975803375244
1702623834818345.0,0.0,0.0,1.0471975803375244
1702623834861887.0,0.0,0.0,1.0471975803375244
1702623834900726.0,0.0,0.0,1.0471975803375244
1702623834941864.0,0.0,0.0,1.0471975803375244
1702623834980862.0,0.0,0.0,1.0471975803375244
1702623835025658.0,0.0,0.0,1.0471975803375244
1702623835062982.0,0.0,0.0,1.0471975803375244
1702623835102710.0,0.0,0.0,1.0471975803375244
1702623835146850.0,0.0,0.0,1.0471975803375244
1702623835186969.0,0.0,0.0,1.0471975803375244
1702623835225980.0,0.0,0.0,1.0471975803375244
1702623835264696.0,0.0,0.0,1.0471975803375244
1702623835308135.0,0.0,0.0,1.0471975803375244
1702623835346218.0,0.0,0.0,1.0471975803375244
1702623835386840.0,0.0,0.0,1.0471975803375244
1702623835432556.0,0.0,0.0,1.0471975803375244
1702623835469442.0,0.0,0.0,1.0471975803375244
1702623835507910.0,0.0,0.0,1.0471975803375244
1702623835549142.0,0.0,0.0,1.0471975803375244
1702623835596554.0,0.0,0.0,1.0471975803375244
1702623835629056.0,0.0,0.0,1.0471975803375244
1702623835670761.0,0.0,0.0,1.0471975803375244
1702623835715200.0,0.0,0.0,1.0471975803375244
1702623835752199.0,0.0,0.0,1.0471975803375244
1702623835794200.0,0.0,0.0,1.0471975803375244
1702623835808299.0,0.0,0.0,1.0471975803375244
1702623835839108.0,0.0,0.0,1.0471975803375244
1702623835873424.0,0.0,0.0,1.0471975803375244
1702623835915852.0,0.0,0.0,1.0471975803375244
1702623835953479.0,0.0,0.0,1.0471975803375244
1702623835994701.0,0.0,0.0,1.0471975803375244
1702623836035580.0,0.0,0.0,0.6261428594589233
1702623836077606.0,0.20000000298023224,0.0,-0.07256951928138733
1702623836118265.0,0.20000000298023224,0.0,-0.3041298985481262
1702623836168470.0,0.20000000298023224,0.0,-0.3041298985481262
1702623836198340.0,0.20000000298023224,0.0,-0.2814941704273224
1702623836240788.0,0.20000000298023224,0.0,-0.21914955973625183
1702623836281067.0,0.20000000298023224,0.0,-0.14858578145503998
1702623836320733.0,0.20000000298023224,0.0,-0.07076132297515869
1702623836359288.0,0.20000000298023224,0.0,-0.007216897793114185
1702623836405172.0,0.20000000298023224,0.0,0.022293059155344963
1702623836444078.0,0.20000000298023224,0.0,0.04701688513159752
1702623836481997.0,0.20000000298023224,0.0,0.03260330855846405
1702623836523248.0,0.20000000298023224,0.0,0.008218783885240555
